as_of,e_k10,e_k15,e_k20,e_k25,e_k50,oracle_e,oracle_k,k50_minus_k10,S1_disp_5d,S2_disp_20d,S3_idx_mom,S4_idx_vol,S5_xs_mom
2025-09-12,0.0261044827172629,0.0235318128694345,0.0238645585279811,0.014235505925527199,0.0129683997583806,0.0261044827172629,10,-0.0131360829588823,0.05494318510275955,0.1437155661772707,0.08817429059901927,0.015719640564486704,0.5135528840226148
2025-09-19,-0.001914780462270201,-0.019900349710608,-0.0140851287466678,-0.0257954830391462,-0.0162007237314597,-0.001914780462270201,10,-0.014285943269189498,0.059450964699951495,0.13944408068239567,0.050932110891538374,0.015382204826866367,0.5058618748931889
2025-09-26,-0.0649190189524478,-0.0495446994199316,-0.0484062946528079,-0.023195704320239298,-0.027974076701372898,-0.023195704320239298,25,0.0369449422510749,0.06521549483068956,0.1359049762998392,0.027962893504801745,0.014882396068228188,0.5412744781082462
2025-10-13,0.009104188643360898,0.003661691010608696,0.008118792621567596,-0.013064034312463502,-0.001677204612059606,0.009104188643360898,10,-0.010781393255420504,0.07491737679112334,0.1394577721516422,0.06690976927381476,0.011980010329624854,0.563187920872434
2025-10-20,0.0648987170776413,0.0553002259530356,0.061020896897792595,0.039072980324731,0.0266388407960554,0.0648987170776413,10,-0.038259876281585906,0.0544841303816687,0.11081389494859248,-0.010927636099141158,0.014105506666416532,0.15297435323915262
2025-10-27,-0.0086090415469981,0.012626436514812,0.0017820516199796004,0.0052487468412871,0.0048068523435161,0.012626436514812,15,0.013415893890514199,0.06018666392959777,0.1242625649816019,0.029154089989204213,0.015176019946057334,0.534863582551928
2025-11-03,-0.0132874828527826,-0.025411834512325,-0.020783424625241898,-0.0191311674773409,-0.0147532168540112,-0.0132874828527826,10,-0.0014657340012286003,0.060299690655255665,0.12611298236819404,0.012800875469951123,0.015104341506637904,0.5723274537554868
2025-11-10,-0.0415411738676789,-0.0259011353812634,-0.028340064029419,-0.0135808076221901,-0.016246592890186796,-0.0135808076221901,25,0.025294580977492105,0.0511044597181732,0.11504732327049892,-0.004441363214634952,0.014245195351743987,0.5117384328800728
2025-11-17,-0.028651182014640196,-0.025967436464610603,-0.030990962348084898,-0.0242335338880108,-0.017862594276933506,-0.017862594276933506,50,0.01078858773770669,0.04630436045376375,0.12416835031223854,0.02343966263633468,0.011718084636097066,0.5385572097029446
2025-11-24,0.0244003242536183,0.014135714924292497,0.011851098878133098,0.009728640409572296,0.0079326560164713,0.0244003242536183,10,-0.016467668237147,0.050218577355295925,0.09412997368726952,-0.06916936539775487,0.012562813625268204,0.19167344744637133
2025-12-01,-0.0223775790611714,-0.0158852650476268,-0.0187125141252023,-0.0070819583774057,-0.0062313635988426,-0.0062313635988426,50,0.0161462154623288,0.044362876186865366,0.07605799587228838,-0.03160371010094487,0.01253308588216231,0.3776913175709071
2025-12-08,-0.0166930811384527,0.0016696884943306007,-0.0009696777874032992,-0.006810905323563899,0.0026002358059593004,0.0026002358059593004,50,0.019293316944411998,0.04576550900595002,0.07565656634330706,-0.02334417512890452,0.01219764916230778,0.5220758044132761
2025-12-15,-0.0020554005623680018,0.007061514942009798,1.739634655329933e-05,0.0074775113594687005,0.007995214362025098,0.007995214362025098,50,0.0100506149243931,0.048860057309334314,0.09720286577536823,-0.01677720956453932,0.011765211005111471,0.618082462538155
2025-12-22,0.0960260991320944,0.07278688074475889,0.0797854979666135,0.0493270982695575,0.0431991690980113,0.0960260991320944,10,-0.05282693003408309,0.04076275603251827,0.11232477013300082,0.05629595487879824,0.010004057240708429,0.5325245853900429
2025-12-29,0.0939495393387254,0.1118931544294635,0.1130088907194478,0.0868013951860614,0.06955111845095989,0.1130088907194478,20,-0.024398420887765504,0.05417577816033341,0.12296221767492696,0.0462955192406691,0.009862208124092586,0.6428730072325761
2026-01-07,0.018452414090784,-0.004627010164506402,0.0017939956465633997,-0.013686940916738402,0.0007312754382073003,0.018452414090784,10,-0.0177211386525767,0.0733035079814251,0.14242569050747528,0.09797532669479958,0.010945711226060337,0.7043229171670361
2026-01-14,-0.0142006053279156,0.0016120517983915002,-0.0051641031397558,0.0279153024437721,0.0257063626641933,0.0279153024437721,25,0.039906967992108903,0.09639124678090075,0.19947286867982067,0.15655622000792246,0.011522911199846162,0.7796791617565194
2026-01-21,0.0174677537199336,0.0222331643758803,0.031486590983971795,0.0541385673061222,0.04429364911052001,0.0541385673061222,25,0.026825895390586406,0.07979913898765234,0.16215271028861433,0.14946288146593378,0.010042248373930664,0.2617171885954465
